@relation 'df_distancia-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R3-5,9-10,13-19,21-24,28-40,42-43,46-53,55,57-59,61-62,65-67,69-73,76'

@attribute customer_state {SP,RJ}
@attribute total_payment_value numeric
@attribute total_freight numeric
@attribute total_weight_g numeric
@attribute total_volume_cm3 numeric
@attribute principal_category_by_price {utilidades_domesticas,cama_mesa_banho,brinquedos,beleza_saude,relogios_presentes,moveis_decoracao,informatica_acessorios,esporte_lazer}
@attribute principal_seller_state_by_price {SP,PR,MG,RJ}
@attribute purchase_year numeric
@attribute facturacion_promedio_t1 numeric
@attribute facturacion_mediana_t1 numeric
@attribute facturacion_std_t1 numeric
@attribute facturacion_total_7d_avg numeric
@attribute dias_entrega_promedio_7d_avg numeric
@attribute dias_entrega_promedio_t2 numeric
@attribute dias_entrega_promedio_prev_month numeric
@attribute es_post_domingo_festivo numeric
@attribute es_diciembre numeric
@attribute es_fin_de_semana_extendido numeric
@attribute distancia_km numeric
@attribute distancia_total_t1 numeric
@attribute distancia_total_prev_month numeric
@attribute delivery_days numeric

@data
SP,89.88,19.98,2267,5148,beleza_saude,PR,2018,136.765915,101.56,126.629519,28296.715714,20.789405,27.423077,13.715038,0,0,0,320.980071,17329.838656,458277.70975,6
SP,118.35,8.03,150,990,beleza_saude,SP,2018,271.335714,129.79,342.191097,25554.294286,9.961427,8.637931,11.552505,0,0,0,98.280698,0,489980.283895,8
SP,309.72,33.75,1600,32400,esporte_lazer,SP,2017,207.623986,125.31,315.467481,15499.002857,11.053593,12,9.861342,0,0,0,66.579504,7935.214081,100740.261894,2
SP,232.14,16.92,500,18490,beleza_saude,SP,2018,162.296117,106.34,179.038073,35444.298571,9.866731,9.460976,11.552505,0,0,0,77.238492,18584.084399,489980.283895,6
SP,156.67,29.68,6150,55680,beleza_saude,SP,2018,148.64318,106.19,174.641653,34256.702857,20.150936,18.813725,13.715038,0,0,0,68.168861,12107.374477,458277.70975,14
SP,97.88,8.39,353,3456,beleza_saude,SP,2018,149.017412,107.515,167.752428,42669.32,10.866723,10.867133,16.552935,0,0,1,15.587591,9923.744423,475528.215386,5
SP,285.59,55.69,9350,44100,esporte_lazer,PR,2018,169.637555,90.62,336.533038,38817.924286,8.834644,8.673591,9.806023,0,0,0,401.294164,21931.734758,427136.256107,5
SP,43.29,7.39,264,3808,cama_mesa_banho,SP,2018,167.163844,113.93,192.128,41479.312857,15.670482,13.37766,14.949342,0,0,0,26.871752,16622.750567,393740.533187,6
SP,65.47,13.08,2450,5760,beleza_saude,SP,2018,151.033594,105.72,150.477058,29430.051429,15.750398,14.960714,13.715038,0,0,0,25.519723,16469.641876,458277.70975,2
SP,98.16,10.79,1100,8320,utilidades_domesticas,SP,2017,160.011418,104.245,186.068829,9848.051429,11.79097,10,9.861342,0,0,0,6.054804,8958.387421,100740.261894,19
SP,77.03,17.13,7000,32994,utilidades_domesticas,SP,2017,197.915455,139.335,179.159025,17730.464286,13.193485,11.136364,12.847377,0,0,1,5.41112,395.027574,250979.635758,8
SP,83.05,13.15,125,6080,beleza_saude,SP,2018,183.830466,112.61,316.135736,42949.447143,11.135274,8.755556,9.806023,0,0,0,286.068739,16157.10594,427136.256107,6
SP,35.24,9.34,750,11250,esporte_lazer,SP,2017,139.82275,98.83,131.412715,37321.215714,10.210064,11.163009,11.723562,0,1,0,15.289469,26502.630735,343849.808439,7
SP,41.69,12.79,800,9000,esporte_lazer,SP,2018,140.357941,86.595,259.65712,14082.28,18.452654,14.748744,13.721701,0,0,1,207.589519,4690.000358,483615.821486,5
SP,20.75,7.87,180,2304,informatica_acessorios,SP,2018,156.299831,109.38,187.703964,47349.655714,10.564134,10.473318,16.552935,0,0,0,46.927972,23628.356041,475528.215386,13
SP,102.56,6.56,396,2772,relogios_presentes,SP,2018,154.851445,113.05,178.839639,47455.257143,11.913726,10.784,16.552935,0,0,0,294.345425,22961.161362,475528.215386,15
SP,50.68,12.69,500,3000,cama_mesa_banho,SP,2017,198.824375,119.47,235.820734,19991.045714,12.304091,12.015707,11.846389,1,0,0,370.267087,5458.01457,345715.109856,12
SP,103.55,13.65,1650,3080,cama_mesa_banho,SP,2017,169.718148,143.12,187.171627,19466.43,11.131926,11.42446,12.847377,0,0,1,219.374987,0,250979.635758,8
RJ,46,14.1,200,2378,informatica_acessorios,MG,2017,130.07,130.07,145.635713,15547.707143,10.002691,10.565217,11.140125,1,0,0,352.723884,3589.955072,205372.622305,9
SP,74.16,14.17,350,2464,relogios_presentes,RJ,2017,149.232461,101.34,175.663047,41204.515714,14.310205,16.147132,11.723562,0,1,0,427.561111,13771.500167,343849.808439,13
RJ,183.65,54.65,6550,8000,informatica_acessorios,MG,2018,156.931203,94.3,169.495961,32145.375714,15.695483,14.354167,14.586934,0,0,1,320.709319,4736.805583,422407.097607,10
SP,28.46,10.96,255,5700,informatica_acessorios,SP,2017,177.829435,114.945,182.149814,15742.663333,12.457979,12.275168,11.572975,0,0,0,81.329024,9132.964991,176378.045309,12
SP,53.3,15.1,450,5175,esporte_lazer,SP,2018,148.941639,101.25,147.380533,34321.814286,13.433079,14.378049,13.715038,0,0,0,449.700806,17775.371164,458277.70975,13
SP,103.5,23.7,1800,59570,cama_mesa_banho,SP,2018,150.340792,102.1,182.147188,32152.238571,13.564187,14.916667,13.715038,0,0,0,55.488686,25003.91727,458277.70975,6
SP,211.89,12.89,4050,2431,beleza_saude,SP,2018,154.196096,116.575,139.922443,30766.407143,16.37013,23,13.715038,0,0,0,295.44607,13134.717058,458277.70975,6
SP,124.7,19.7,1000,7632,relogios_presentes,RJ,2018,201.685385,116.9,373.452604,28285.7,15.80946,15.742604,13.721701,0,0,0,338.15044,23080.987909,483615.821486,9
SP,216.93,17.03,2600,11808,cama_mesa_banho,SP,2018,147.593276,104.715,166.697669,37965.977143,13.154252,13.464286,13.715038,0,0,0,170.474054,22628.129094,458277.70975,6
RJ,241.74,21.94,854,7140,beleza_saude,RJ,2018,143.215217,100.22,136.419341,32738.215714,14.266896,14.619632,14.586934,0,0,0,18.505722,17421.242323,422407.097607,6
RJ,136.37,17.37,1650,7200,esporte_lazer,SP,2018,148.64318,106.19,174.641653,34256.702857,20.150936,18.813725,13.715038,0,0,0,381.684972,12107.374477,458277.70975,7
